Animal ID,Name,Outcome Date,Outcome Time,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Days upon Outcome
A680273,Jake,6/1/14,11:18AM,Return to Owner,,Dog,Intact Male,5 years,Doberman Pinsch Mix,Black/Tan,1825
A679571,Bruno,6/1/14,11:22AM,Return to Owner,,Dog,Intact Male,7 years,Dachshund Mix,Red,2555
A680199,Tinnie,6/1/14,11:28AM,Return to Owner,,Dog,Spayed Female,5 months,Chihuahua Shorthair Mix,Tan/White,150
A679839,,6/1/14,11:56AM,Adoption,,Dog,Neutered Male,3 years,Miniature Poodle Mix,White/Apricot,1095
A680279,,6/1/14,12:16PM,Transfer,Partner,Other,Unknown,2 months,Lionhead Mix,Gray,60
A678110,*Mr.Black,6/1/14,12:16PM,Transfer,Partner,Other,Intact Male,4 years,Rabbit Sh Mix,Black,1460
A680280,,6/1/14,12:17PM,Transfer,Partner,Other,Unknown,2 months,Lionhead Mix,Black,60
A677322,*Luna Belle,6/1/14,12:37PM,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue Tabby,365
A679291,Zeus,6/1/14,12:50PM,Adoption,,Dog,Neutered Male,1 year,Siberian Husky/Labrador Retriever,Black/Tan,365
A680291,,6/1/14,1:01PM,Transfer,Partner,Cat,Intact Male,4 days,Domestic Shorthair Mix,Cream Tabby,4
A680012,*Lacey,6/1/14,1:06PM,Transfer,Partner,Dog,Intact Female,1 year,Cavalier Span Mix,Black/Tan,365
A679930,*Dallas,6/1/14,1:19PM,Died,In Kennel,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black,30
A677412,*Amy Lou,6/1/14,1:22PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White,60
A561786,Betsy,6/1/14,1:22PM,Return to Owner,,Dog,Spayed Female,9 years,Basset Hound Mix,White/Brown,3285
A680049,,6/1/14,1:45PM,Euthanasia,Suffering,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black,60
A679504,,6/1/14,2:07PM,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black,120
A679506,,6/1/14,2:07PM,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby,120
A679739,*Sassafrass,6/1/14,2:16PM,Adoption,,Dog,Spayed Female,10 months,Boxer/Pit Bull,Brown Brindle/White,300
A679710,Boscoe,6/1/14,2:29PM,Adoption,,Dog,Neutered Male,4 months,Border Collie Mix,Black/White,120
A677627,*Charlie,6/1/14,2:36PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,60
A679722,,6/1/14,2:52PM,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby/White,60
A679723,,6/1/14,2:52PM,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,60
A679724,,6/1/14,2:52PM,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black/White,60
A679725,,6/1/14,2:53PM,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,White,60
A679852,,6/1/14,2:53PM,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,60
A679853,,6/1/14,2:54PM,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Brown Tabby,60
A679942,,6/1/14,2:55PM,Transfer,Partner,Dog,Spayed Female,4 years,Cardigan Welsh Corgi Mix,Cream/White,1460
A679873,,6/1/14,2:58PM,Transfer,Partner,Dog,Spayed Female,1 year,Yorkshire Terrier Mix,Tan,365
A679682,*Kiska,6/1/14,2:58PM,Transfer,Partner,Dog,Spayed Female,3 years,German Shepherd/Australian Cattle Dog,Black/Tan,1095
A679981,Zelda,6/1/14,3:02PM,Return to Owner,,Dog,Spayed Female,3 years,American Bulldog Mix,White,1095
A678130,*Sunnie,6/1/14,3:03PM,Adoption,,Dog,Spayed Female,6 years,Australian Shepherd Mix,Tan/White,2190
A679756,Butters,6/1/14,3:10PM,Transfer,Partner,Dog,Intact Male,2 months,Beagle,Tricolor,60
A611152,*Coal,6/1/14,3:18PM,Adoption,,Dog,Neutered Male,4 years,Labrador Retriever/Beagle,Black/White,1460
A611890,Winston,6/1/14,3:29PM,Adoption,,Dog,Neutered Male,3 years,Toy Poodle/Yorkshire Terrier,Tricolor,1095
A680268,Jasper,6/1/14,3:42PM,Return to Owner,,Dog,Neutered Male,9 years,German Shepherd Mix,Black/Tan,3285
A680328,,6/1/14,4:09PM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown,365
A676269,,6/1/14,4:09PM,Adoption,Offsite,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Black,30
A676272,,6/1/14,4:09PM,Adoption,Offsite,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Blue,30
A677124,Arya,6/1/14,4:23PM,Adoption,,Cat,Spayed Female,3 months,Domestic Longhair Mix,Calico,90
A670953,Penny,6/1/14,4:24PM,Adoption,,Dog,Spayed Female,1 year,Australian Kelpie Mix,Red,365
A679854,,6/1/14,4:26PM,Adoption,,Cat,Neutered Male,2 months,Snowshoe Mix,Lynx Point,60
A679144,Makarov,6/1/14,4:44PM,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Blue,365
A680330,,6/1/14,4:48PM,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue,30
A680320,,6/1/14,4:52PM,Euthanasia,Suffering,Cat,Unknown,1 month,Domestic Shorthair Mix,Black/White,30
A679858,,6/1/14,4:54PM,Adoption,,Dog,Neutered Male,4 months,Catahoula/Irish Wolfhound,Brown Merle,120
A679348,,6/1/14,5:03PM,Adoption,,Dog,Spayed Female,8 months,Chihuahua Shorthair Mix,Buff,240
A679934,Theo,6/1/14,5:11PM,Adoption,,Cat,Neutered Male,2 months,Snowshoe Mix,Chocolate Point/White,60
A679428,*Emma,6/1/14,5:15PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,60
A680225,,6/1/14,5:15PM,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Calico,730
A680338,,6/1/14,5:19PM,Euthanasia,Rabies Risk,Other,Unknown,5 months,Raccoon Mix,Black/White,150
A679699,Jake,6/1/14,5:20PM,Adoption,,Dog,Neutered Male,3 years,Jack Russell Terrier Mix,White/Tan,1095
A680339,,6/1/14,5:20PM,Euthanasia,Rabies Risk,Other,Unknown,5 months,Raccoon Mix,Black/White,150
A678217,*Puzzles,6/1/14,5:21PM,Adoption,,Dog,Spayed Female,2 years,Bulldog Mix,Brown/White,730
A680333,,6/1/14,5:21PM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Raccoon Mix,Black/White,365
A680337,,6/1/14,5:22PM,Euthanasia,Rabies Risk,Other,Unknown,5 months,Raccoon Mix,Black/White,150
A679919,,6/1/14,5:27PM,Adoption,,Dog,Neutered Male,4 months,Catahoula/Great Dane,Tan/White,120
A677660,Claire,6/1/14,5:31PM,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,60
A677661,Jasmine,6/1/14,5:32PM,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie,60
A679935,Corey,6/1/14,5:34PM,Adoption,,Cat,Neutered Male,2 months,Snowshoe Mix,Chocolate Point/White,60
A679946,,6/1/14,5:38PM,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Yellow,60
A679944,,6/1/14,5:40PM,Transfer,Partner,Dog,Spayed Female,2 years,Cairn Terrier Mix,White/Buff,730
A679915,,6/1/14,5:48PM,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White,365
A679798,,6/1/14,5:51PM,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black,60
A679840,,6/1/14,5:58PM,Adoption,,Dog,Spayed Female,2 months,Chihuahua Shorthair/Cardigan Welsh Corgi,Tan/White,60
A531398,Red,6/1/14,6:14PM,Adoption,,Dog,Neutered Male,9 years,Chihuahua Shorthair Mix,Brown/White,3285
A680005,,6/1/14,6:16PM,Adoption,,Dog,Neutered Male,2 months,Australian Kelpie Mix,Tan/Black,60
A680286,Oliver,6/1/14,6:50PM,Return to Owner,,Dog,Neutered Male,6 years,Miniature Schnauzer,Gray,2190
A560007,Alfie,6/1/14,6:50PM,Return to Owner,,Dog,Neutered Male,6 years,Miniature Schnauzer,Gray,2190
A662137,Hercules,6/1/14,7:04PM,Adoption,,Dog,Neutered Male,1 year,American Bulldog Mix,Brown/White,365
A680359,Marty,6/1/14,7:19PM,Return to Owner,,Dog,Neutered Male,2 years,Jack Russell Terrier Mix,Tricolor,730
A679929,Tigris,6/2/14,8:00AM,Transfer,SCRP,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby,365
A679463,,6/2/14,8:00AM,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Brown Tabby/White,730
A680092,,6/2/14,10:43AM,Died,Enroute,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,60
A680238,Toby,6/2/14,11:16AM,Transfer,Partner,Dog,Neutered Male,9 years,Shih Tzu Mix,Red,3285
A680372,,6/2/14,11:38AM,Euthanasia,Suffering,Cat,Intact Female,4 weeks,Domestic Shorthair,Brown Tabby/White,28
A680041,,6/2/14,12:29PM,Euthanasia,Suffering,Dog,Intact Female,12 years,Chihuahua Shorthair Mix,Black/White,4380
A680299,Swisher,6/2/14,12:50PM,Return to Owner,,Dog,Intact Male,2 years,Pit Bull Mix,Brown,730
A521865,Earl,6/2/14,12:53PM,Return to Owner,,Dog,Neutered Male,7 years,Pit Bull Mix,Black Brindle/White,2555
A680384,Sissy,6/2/14,12:59PM,Return to Owner,,Dog,Spayed Female,13 years,Lhasa Apso Mix,Brown/Black,4745
A680006,Hercules,6/2/14,2:04PM,Transfer,Partner,Cat,Intact Male,1 month,Domestic Longhair Mix,Blue,30
A680007,Archilles,6/2/14,2:04PM,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue,30
A677451,*Morgan,6/2/14,2:14PM,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Tan/White,730
A678247,Bear,6/2/14,2:34PM,Adoption,,Dog,Neutered Male,1 year,Miniature Poodle/Miniature Schnauzer,Black,365
A680016,,6/2/14,3:16PM,Euthanasia,Aggressive,Dog,Intact Female,4 years,Pit Bull Mix,Blue,1460
A680289,,6/2/14,3:48PM,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico,365
A680039,*Molly,6/2/14,4:31PM,Adoption,,Cat,Spayed Female,2 months,Domestic Longhair Mix,Blue/White,60
A680055,Precious,6/2/14,4:50PM,Adoption,,Dog,Spayed Female,9 years,Chihuahua Shorthair Mix,White/Brown,3285
A680426,Lyla,6/2/14,4:54PM,Return to Owner,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Yellow,1095
A672196,*Willow,6/2/14,5:07PM,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Tortie,120
A607131,Rocky,6/2/14,5:15PM,Adoption,Foster,Dog,Neutered Male,6 years,Rat Terrier Mix,Brown/White,2190
A680079,Luke,6/2/14,5:15PM,Adoption,,Dog,Neutered Male,1 year,Tibetan Spaniel Mix,Red/White,365
A676861,*Abby,6/2/14,5:17PM,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White,60
A680053,Ginger,6/2/14,5:20PM,Adoption,,Dog,Spayed Female,8 years,Cocker Spaniel Mix,White/Liver,2920
A680228,,6/2/14,5:31PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,60
A674451,*Tiger,6/2/14,5:31PM,Adoption,,Dog,Neutered Male,6 months,Australian Kelpie Mix,Yellow Brindle,180
A680428,,6/2/14,5:40PM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Raccoon Mix,Black/White,365
A680429,,6/2/14,5:40PM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown,365
A680431,,6/2/14,5:40PM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown,365
A680045,,6/2/14,5:41PM,Adoption,,Dog,Neutered Male,1 month,Plott Hound Mix,Brown Brindle/White,30
A679936,Isabelle,6/2/14,5:46PM,Adoption,,Cat,Spayed Female,2 months,Domestic Longhair Mix,Black/White,60
A680206,Milo,6/2/14,5:58PM,Adoption,,Dog,Spayed Female,2 months,Jack Russell Terrier Mix,Tricolor,60
A680364,Nova,6/2/14,6:05PM,Return to Owner,,Dog,Spayed Female,1 year,Pit Bull Mix,Fawn/White,365
A678596,*Sammy,6/2/14,6:08PM,Adoption,,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Black/Tan,1460
A680425,,6/2/14,6:10PM,Transfer,Partner,Cat,Intact Female,2 days,Domestic Shorthair Mix,Brown Tabby/White,2
A679683,Cooper,6/2/14,6:18PM,Adoption,,Dog,Neutered Male,2 years,Beagle/Manchester Terrier,Black/White,730
A659056,Printer,6/2/14,6:20PM,Adoption,,Dog,Neutered Male,5 years,Golden Retriever/Chow Chow,Brown/Black,1825
A678469,*Soot,6/2/14,6:21PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,60
A679596,Sandy,6/2/14,6:29PM,Return to Owner,,Dog,Spayed Female,3 years,Doberman Pinsch Mix,Liver/Buff,1095
A540822,Duffy,6/2/14,6:44PM,Return to Owner,,Dog,Neutered Male,6 years,Parson Russell Terrier,Tricolor,2190
A678192,*P.T. Barnum,6/2/14,6:46PM,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White,365
A679331,*Louie,6/2/14,7:00PM,Adoption,,Dog,Neutered Male,10 months,Chihuahua Shorthair/Beagle,Buff/White,300
A509226,Jingles,6/2/14,7:02PM,Return to Owner,,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Orange Tabby,2920
A680010,Laika,6/2/14,7:29PM,Adoption,,Dog,Spayed Female,7 months,Rat Terrier/Pointer,Black/White,210
A680439,,6/2/14,8:06PM,Transfer,Partner,Cat,Unknown,3 days,Domestic Shorthair Mix,Cream,3
A680504,,6/3/14,8:00AM,Transfer,SCRP,Cat,Intact Female,2 years,Siamese Mix,Lilac Point,730
A680453,,6/3/14,10:11AM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Raccoon,Gray/Black,365
A680447,,6/3/14,11:08AM,Transfer,Partner,Cat,Intact Male,3 days,Domestic Shorthair Mix,Black,3
A680448,,6/3/14,11:08AM,Transfer,Partner,Cat,Intact Male,3 days,Domestic Shorthair Mix,Blue Tabby,3
A680449,,6/3/14,11:08AM,Transfer,Partner,Cat,Intact Male,3 days,Domestic Shorthair Mix,Black,3
A680450,,6/3/14,11:09AM,Transfer,Partner,Cat,Intact Male,3 days,Domestic Shorthair Mix,Blue Tabby,3
A679802,Doris,6/3/14,11:13AM,Return to Owner,,Dog,Spayed Female,7 years,Labrador Retriever Mix,Yellow,2555
A680440,Elle,6/3/14,11:33AM,Return to Owner,,Dog,Spayed Female,12 years,Chihuahua Shorthair/Pug,Tricolor,4380
A657652,*Mason,6/3/14,11:47AM,Adoption,,Dog,Neutered Male,3 years,Labrador Retriever/Chinese Sharpei,Black,1095
A679845,,6/3/14,11:56AM,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan/White,1095
A679847,,6/3/14,11:56AM,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Blue Merle/White,1095
A676006,*Allie,6/3/14,12:02PM,Adoption,,Dog,Spayed Female,5 years,Chihuahua Shorthair/Pug,Brown,1825
A640537,Sissy,6/3/14,12:02PM,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Black/White,365
A679988,*Vienna,6/3/14,12:05PM,Transfer,Partner,Dog,Spayed Female,2 years,Dachshund/Chihuahua Shorthair,Black/Tan,730
A679625,Hershey,6/3/14,12:08PM,Return to Owner,,Dog,Neutered Male,1 year,English Bulldog Mix,Brown Brindle/White,365
A680464,Elsa,6/3/14,12:13PM,Transfer,Partner,Dog,Intact Female,5 years,Shih Tzu Mix,Tan/White,1825
A680465,Anna,6/3/14,12:13PM,Transfer,Partner,Dog,Intact Female,3 years,Shih Tzu Mix,Sable/White,1095
A679997,*Miss Etta,6/3/14,12:15PM,Transfer,Partner,Dog,Spayed Female,1 year,Chihuahua Shorthair/Dachshund,Brown,365
A680103,,6/3/14,12:17PM,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Buff,730
A679846,,6/3/14,12:19PM,Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Black/White,365
A679893,,6/3/14,12:22PM,Transfer,Partner,Dog,Neutered Male,3 months,Pointer Mix,Black/White,90
A679894,,6/3/14,12:23PM,Transfer,Partner,Dog,Spayed Female,3 months,Pointer Mix,Brown/White,90
A680340,Winston,6/3/14,12:26PM,Transfer,Partner,Dog,Neutered Male,14 years,Dachshund,Red/White,5110
A679069,*Elsie,6/3/14,12:27PM,Transfer,Partner,Dog,Spayed Female,3 years,German Shepherd Mix,Brown/Black,1095
A354597,Ariel,6/3/14,12:30PM,Adoption,,Cat,Spayed Female,10 years,Maine Coon Mix,Brown Tabby,3650
A665173,*Hardy,6/3/14,12:43PM,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Chocolate/White,730
A679467,Asia,6/3/14,1:01PM,Return to Owner,,Dog,Spayed Female,2 years,Siberian Husky Mix,Black/Brown,730
A680474,Enoch,6/3/14,1:11PM,Return to Owner,,Dog,Neutered Male,2 years,Boxer Mix,Brown Brindle/White,730
A680433,Nuve,6/3/14,1:43PM,Return to Owner,,Dog,Spayed Female,5 years,Rat Terrier Mix,White/Black,1825
A670102,Aria,6/3/14,1:46PM,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Black/White,365
A677599,Oliver,6/3/14,1:53PM,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,60
A535124,Bruno,6/3/14,1:56PM,Adoption,,Dog,Neutered Male,5 years,Dutch Shepherd Mix,Brown Brindle,1825
A677600,*Mario,6/3/14,2:05PM,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Longhair Mix,Orange Tabby,60
A675708,*Johnny,6/3/14,2:20PM,Adoption,,Dog,Neutered Male,1 year,Pit Bull,Blue/White,365
A601482,Pepe,6/3/14,2:25PM,Return to Owner,,Dog,Neutered Male,6 years,Chow Chow/Australian Cattle Dog,Tan/Black,2190
A679937,Mia,6/3/14,2:29PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White,60
A606646,*Merry,6/3/14,2:34PM,Adoption,Foster,Dog,Spayed Female,6 years,English Bulldog Mix,Tan/White,2190
A679797,Genevieve,6/3/14,2:39PM,Transfer,Partner,Cat,Intact Female,13 years,Domestic Shorthair Mix,Orange Tabby,4745
A677714,Rascal,6/3/14,2:39PM,Transfer,Partner,Cat,Neutered Male,9 months,Domestic Longhair Mix,Black Tabby/White,270
A680104,*Aj,6/3/14,2:40PM,Transfer,Partner,Cat,Unknown,1 month,Domestic Shorthair Mix,Brown Tabby,30
A680105,*Nick,6/3/14,2:40PM,Transfer,Partner,Cat,Unknown,1 month,Domestic Shorthair Mix,Brown Tabby/White,30
A680224,*Howie,6/3/14,2:41PM,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby,30
A680182,*Brian,6/3/14,2:41PM,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby,30
A680040,*Watson,6/3/14,2:43PM,Adoption,,Cat,Neutered Male,2 months,Domestic Longhair Mix,White/Blue,60
A672194,*Chestnut,6/3/14,2:46PM,Adoption,Foster,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby,120
A676275,,6/3/14,3:01PM,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue,60
A662084,*Jude,6/3/14,3:04PM,Adoption,,Dog,Neutered Male,1 year,Anatol Shepherd Mix,Brown/White,365
A675848,*Patches,6/3/14,3:17PM,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,60
A679680,*Toffee,6/3/14,3:21PM,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby,30
A678647,Odin,6/3/14,3:50PM,Return to Owner,,Dog,Neutered Male,1 year,Siberian Husky Mix,Black/White,365
A676204,,6/3/14,3:58PM,Adoption,Foster,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black,60
A680218,Svi,6/3/14,4:21PM,Return to Owner,,Dog,Intact Male,3 years,Cardigan Welsh Corgi,Tricolor,1095
A679021,Zeus,6/3/14,4:29PM,Return to Owner,,Dog,Neutered Male,5 years,Great Dane Mix,Blue/White,1825
A680123,Holmes,6/3/14,4:59PM,Adoption,,Cat,Neutered Male,2 months,Siamese Mix,Lynx Point,60
A680193,Dug,6/3/14,5:07PM,Adoption,,Dog,Neutered Male,2 months,Collie Smooth Mix,Sable/White,60
A673731,Roxy,6/3/14,5:11PM,Adoption,,Dog,Spayed Female,3 years,Jack Russell Terrier/Dachshund,White/Brown Brindle,1095
A680088,Koda,6/3/14,5:15PM,Adoption,,Dog,Spayed Female,3 months,Vizsla Mix,Red/White,90
A678459,Nacho,6/3/14,5:19PM,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Longhair Mix,Orange Tabby,60
A679537,*Polly,6/3/14,5:20PM,Adoption,,Dog,Spayed Female,1 year,Harrier Mix,White/Brown Brindle,365
A680498,,6/3/14,5:34PM,Transfer,Partner,Cat,Unknown,2 days,Domestic Shorthair Mix,Gray Tabby,2
A680510,,6/3/14,5:35PM,Transfer,Partner,Cat,Unknown,1 day,Domestic Shorthair Mix,Black/White,1
A680511,,6/3/14,5:35PM,Transfer,Partner,Cat,Unknown,1 day,Domestic Shorthair Mix,Black/White,1
A680512,,6/3/14,5:35PM,Transfer,Partner,Cat,Unknown,1 day,Domestic Shorthair Mix,Black/White,1
A680226,,6/3/14,5:40PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,60
A678781,Sadie,6/3/14,5:47PM,Adoption,,Dog,Spayed Female,1 month,Border Collie Mix,Black/White,30
A680210,Brody,6/3/14,5:54PM,Adoption,,Dog,Neutered Male,2 years,Dachshund/Cavalier Span,Black/White,730
A680074,Valentina,6/3/14,5:58PM,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan/White,365
A680122,Khaleesi,6/3/14,6:24PM,Adoption,,Cat,Spayed Female,2 months,Siamese Mix,Lilac Point,60
A680125,Samuari,6/3/14,6:24PM,Adoption,,Cat,Neutered Male,2 months,Siamese Mix,Blue Point,60
A680245,Collaway,6/3/14,6:26PM,Adoption,,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Black,1095
A671478,Buddy,6/3/14,6:35PM,Euthanasia,Aggressive,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle,730
A680430,,6/3/14,6:41PM,Transfer,Partner,Cat,Intact Female,1 month,Domestic Longhair Mix,Black Smoke,30
A680455,Boo D.,6/3/14,6:53PM,Return to Owner,,Dog,Neutered Male,3 years,Labrador Retriever Mix,Black,1095
A679298,Debo,6/3/14,6:54PM,Euthanasia,Aggressive,Dog,Intact Male,6 years,Labrador Retriever/Pit Bull,Black Brindle/Brown Brindle,2190
A622978,Sugar,6/3/14,6:54PM,Euthanasia,Aggressive,Dog,Spayed Female,5 years,Pit Bull Mix,White/Black,1825
A680171,Rupert,6/3/14,7:03PM,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan/White,365
A680229,,6/3/14,7:05PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White,60
A680121,Daisy,6/3/14,7:07PM,Adoption,,Dog,Spayed Female,2 months,Golden Retriever Mix,Red/White,60
A680423,,6/3/14,7:14PM,Transfer,SCRP,Cat,Intact Female,4 months,Domestic Shorthair Mix,Brown Tabby,120
A680529,,6/4/14,9:05AM,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby,30
A680502,,6/4/14,9:25AM,Euthanasia,Rabies Risk,Other,Unknown,3 years,Bat Mix,Brown,1095
A680542,,6/4/14,10:39AM,Euthanasia,Suffering,Cat,Intact Male,2 years,Domestic Shorthair Mix,Black,730
A679769,*Possum,6/4/14,12:17PM,Transfer,Partner,Dog,Neutered Male,1 year,Pekingese/Pug,White/Red Tick,365
A680500,Marky Mark,6/4/14,12:25PM,Transfer,Partner,Dog,Intact Male,8 months,Lhasa Apso/Shih Tzu,Black/Brown,240
A674383,Hoss,6/4/14,12:33PM,Adoption,,Dog,Neutered Male,2 months,Rat Terrier Mix,Black/White,60
A675849,*Frosty,6/4/14,12:40PM,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie/White,60
A679711,Max,6/4/14,1:36PM,Return to Owner,,Dog,Neutered Male,14 years,Australian Cattle Dog/German Shepherd,Brown,5110
A679753,*Slider,6/4/14,2:16PM,Transfer,Partner,Dog,Spayed Female,10 months,Labrador Retriever Mix,Tan,300
A680296,Butters,6/4/14,2:19PM,Transfer,Partner,Dog,Neutered Male,1 year,Labrador Retriever Mix,Yellow,365
A679964,Maddie,6/4/14,3:06PM,Transfer,Partner,Dog,Intact Female,10 years,Cocker Spaniel,Black/White,3650
A678090,Clementine,6/4/14,3:09PM,Adoption,,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby,30
A679323,Lucian,6/4/14,3:22PM,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,60
A680592,,6/4/14,4:34PM,Euthanasia,Suffering,Cat,Intact Male,1 year,Domestic Shorthair Mix,Black Tabby/Black,365
A680253,Ryanne,6/4/14,4:35PM,Transfer,Partner,Dog,Intact Female,11 months,Golden Retriever Mix,Red,330
A679536,Smokey,6/4/14,4:42PM,Return to Owner,,Dog,Neutered Male,1 year,Chihuahua Longhair Mix,Brown,365
A678101,Turbo,6/4/14,4:47PM,Return to Owner,,Dog,Neutered Male,3 years,American Bulldog Mix,Brown/White,1095
A679658,Pete,6/4/14,5:06PM,Return to Owner,,Dog,Neutered Male,5 months,Chihuahua Shorthair Mix,Tan,150
A677866,*Boris,6/4/14,5:09PM,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White,730
A680562,Luke,6/4/14,5:15PM,Return to Owner,,Dog,Intact Male,3 years,Labrador Retriever Mix,Chocolate,1095
A680563,Bella,6/4/14,5:16PM,Return to Owner,,Dog,Spayed Female,4 years,Dachshund,Tan/White,1460
A679095,Kia,6/4/14,5:19PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Black,60
A680582,,6/4/14,5:43PM,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,White,14
A680583,,6/4/14,5:43PM,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,White/Black,14
A680584,,6/4/14,5:44PM,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby,14
A680619,,6/4/14,5:44PM,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Blue Tabby,7
A680620,,6/4/14,5:44PM,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Blue Tabby,7
A680621,,6/4/14,5:44PM,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Blue Tabby,7
